,地方連絡協議会名,都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,屋根ふき工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
0,北海道,01 北海道,"23,600","20,000","17,500","22,700","30,800","27,700",,,"25,300","27,300","28,700","27,800","30,100","24,900","20,700","38,400","47,700",,"43,800","31,100","43,200","33,000","35,400","43,600","26,900","30,400","24,900","45,600","31,500","29,700","36,500","32,900","26,400","28,100","28,300","24,100","28,200","30,200","28,700",,"28,100",,"27,100","24,200",,"23,600","27,200","27,100","16,900","14,000"
1,東 北,02 青森県,"27,400","20,700","16,600","22,500","31,400","28,900",,"28,900","23,200","29,600","26,700","25,400","28,100","31,700","28,100","37,900","47,100","33,900","42,300","30,000","43,600","32,400","37,200","42,300","32,000","31,400","25,600","52,200","34,200","34,000",,"37,800","33,700","29,600","30,100","23,600","27,400","26,800","28,000","22,500","30,200",,"26,600","25,600","25,800","22,400","25,400","26,200","15,600","13,500"
2,東 北,03 岩手県,"26,000","22,100","17,100","23,700","33,000","27,700",,"28,900","24,400","29,400","27,000","26,500","28,300","31,000","25,500","37,800","47,100","33,800","44,600","30,200","43,700","32,500","37,300","43,800","31,900","31,500","25,500","54,300","35,600","35,800",,"37,700","34,000","30,400","31,900","25,200","27,400","27,000","28,200","22,500","30,200",,"26,800","25,600","25,800","22,600","25,300","26,000","16,500","14,100"
3,東 北,04 宮城県,"27,600","22,100","18,500","24,800","34,000","31,500",,"29,000","26,100","35,500","30,500","31,000","30,500","32,600","28,500","37,700","46,700","33,600","44,600","30,100","43,400","32,300","37,000","47,900","32,100","31,300","25,400","59,400","38,900","38,700",,"37,800","38,400","33,000","34,600","26,400","27,200","29,600","30,600","22,600","32,400",,"29,300","25,200","25,900","23,200","25,300","26,100","18,200","15,200"
4,東 北,05 秋田県,"26,100","21,200","18,000","23,600","31,900","28,900",,"29,300","24,200","30,700","27,800","27,700","29,100","30,900","29,100","38,200","47,700","34,300","43,700","30,900","44,100","33,300","37,600","44,100","33,500","31,800","25,900","54,500","35,500","35,500",,"38,200","30,700","33,000","30,800","23,100","27,800","27,800","28,200","22,800","30,900",,"27,200","25,900","26,100","22,800","25,700","26,500","16,000","13,500"
5,東 北,06 山形県,"26,000","21,000","18,800","23,900","30,100","28,800","28,500","28,800","25,000","30,900","28,700","30,600","30,300","28,900","25,600","38,000","47,100","34,000","43,300","30,500","43,800","32,900","37,300","42,800","31,000","31,500","26,800","54,400","35,600","35,400",,"34,100","30,900","28,500","30,000","25,400","27,500","30,900","29,000","22,600","30,100",,"28,400","25,600","25,200","24,100","25,500","26,300","17,900","15,100"
6,東 北,07 福島県,"27,700","22,000","20,100","24,500","33,000","31,300","30,200","29,200","25,600","31,300","28,600","30,700","30,200","27,600","24,300","38,000","47,000","33,900","43,200","30,000","43,600","32,500","37,300","42,700","29,200","31,500","26,800","54,400","35,600","35,700",,"41,700","28,700","31,600","30,200","25,900","27,400","30,500","29,400","22,600","30,700","31,500","29,200","25,600","26,700","23,700","25,500","26,100","18,200","15,200"
7,関 東,08 茨城県,"25,100","24,000","16,100","25,100","28,200","29,200","30,700","29,000","25,700","28,200","25,800","28,800","31,700","28,200","23,000","34,900","41,500","35,500","36,200","29,200","38,600","32,700","33,500","37,400","29,000","38,400","29,400","43,900","29,700","31,900","30,700","54,700","28,700","29,100","29,700","26,000","28,400","30,700","31,300","24,200","30,500",,"31,300","29,800","26,900","26,600","26,100","26,400","17,900","16,400"
8,関 東,09 栃木県,"24,800","22,400","15,900","24,800","29,900","27,600","30,800","29,000","25,300","28,100","26,700","30,300","32,500","25,400","23,900","35,000","41,500","35,500","36,700","29,600","38,600","33,100","33,400","37,700","28,900","38,400","29,400","44,100","30,500","32,200","30,600","55,600","28,400","29,500","30,000","26,100","28,500","31,700","31,700","24,200","30,600",,"31,900","29,700","26,900","26,300","26,100","26,400","17,500","15,200"
9,関 東,10 群馬県,"24,900","23,700","17,100","25,000","31,300","26,300","29,600","28,800","24,800","27,300","26,200","26,400","30,300","25,800","21,500","35,000","41,600","35,500","39,500","29,500","38,400","32,900","33,400","37,700","29,000","38,500","29,400","45,900","29,800","31,400","30,800","51,600","28,300","28,500","26,500","25,200","28,500","29,200","28,900","24,200","29,500",,"31,000","29,800","25,700","25,400","26,100","26,400","16,700","14,800"
